dates,#calls,weekday,day,month
2019-02-20,15636,2,20,2
2019-02-21,17877,3,21,2
2019-02-22,17561,4,22,2
2019-02-23,17838,5,23,2
2019-02-24,17062,6,24,2
2019-02-25,18000,0,25,2
2019-02-26,17377,1,26,2
2019-02-27,17907,2,27,2
2019-02-28,18201,3,28,2
2019-03-01,17994,4,1,3
2019-03-02,17561,5,2,3
2019-03-03,16513,6,3,3
2019-03-04,15876,0,4,3
2019-03-05,18555,1,5,3
2019-03-06,18412,2,6,3
2019-03-07,18702,3,7,3
2019-03-08,18301,4,8,3
2019-03-09,17925,5,9,3
2019-03-10,16193,6,10,3
2019-03-11,17952,0,11,3
2019-03-12,18380,1,12,3
2019-03-13,18618,2,13,3
2019-03-14,18443,3,14,3
2019-03-15,19536,4,15,3
2019-03-16,19050,5,16,3
2019-03-17,17640,6,17,3
2019-03-18,17492,0,18,3
2019-03-19,18459,1,19,3
2019-03-20,19498,2,20,3
2019-03-21,18685,3,21,3
2019-03-22,19467,4,22,3
2019-03-23,19263,5,23,3
2019-03-24,17965,6,24,3
2019-03-25,17912,0,25,3
2019-03-26,19296,1,26,3
2019-03-27,19480,2,27,3
2019-03-28,19250,3,28,3
2019-03-29,18868,4,29,3
2019-03-30,18467,5,30,3
2019-03-31,17225,6,31,3
2019-04-01,17725,0,1,4
2019-04-02,18633,1,2,4
2019-04-03,19622,2,3,4
2019-04-04,19167,3,4,4
2019-04-05,18482,4,5,4
2019-04-06,18418,5,6,4
2019-04-07,17731,6,7,4
2019-04-08,17800,0,8,4
2019-04-09,18728,1,9,4
2019-04-10,19468,2,10,4
2019-04-11,18797,3,11,4
2019-04-12,18477,4,12,4
2019-04-13,18455,5,13,4
2019-04-14,17886,6,14,4
2019-04-15,18224,0,15,4
2019-04-16,18920,1,16,4
2019-04-17,18909,2,17,4
2019-04-18,18206,3,18,4
2019-04-19,18634,4,19,4
2019-04-20,18121,5,20,4
2019-04-21,17136,6,21,4
